LINHA;CODIGO;DESCRICAO;ULTIMA_VENDA;ESTOQUE;CUSTO
SAMSUNG;TEL-SAM-J2-CORE-REPL;TELA;05-May-20;0;65
SAMSUNG;TEL-SAM-J2-PRO-ORIG;TELA;01-May-20;3;150
SAMSUNG;TEL-SAM-J2-PRO-REPL;TELA;03-Oct-19;4;50
SAMSUNG;TEL-SAM-J3-ORIG;TELA;15-May-18;6;130
SAMSUNG;TEL-SAM-J3-REPL;TELA;10-Jan-20;33;36,51
SAMSUNG;TEL-SAM-J4-ORIG;TELA;30-Apr-20;14;123,21
SAMSUNG;TEL-SAM-J4-REPL;TELA;18-Jun-20;29;46,56
SAMSUNG;TEL-SAM-J4-REPL;TELA;16-May-20;8;50
SAMSUNG;TEL-SAM-J4-PLUS-ORIG;TELA;01-Nov-19;2;119
SAMSUNG;TEL-SAM-J4-PLUS-REPL;TELA;06-Apr-19;16;80,21
SAMSUNG;TEL-SAM-J5-ORIG;TELA;08-Sep-18;4;124,62
SAMSUNG;TEL-SAM-J5-REPL;TELA;14-Oct-18;72;36,77
SAMSUNG;TEL-SAM-J5-PRIME-ORIG;TELA;05-Jun-20;13;126,11
SAMSUNG;TEL-SAM-J5-PRIME-REPL;TELA;04-May-20;31;55,18
SAMSUNG;TEL-SAM-J5-PRO-ORIG;TELA;09-Jun-20;3;124,65
SAMSUNG;TEL-SAM-J5-PRO-REPL;TELA;02-Feb-20;10;52,65
SAMSUNG;TEL-SAM-J510-ORIG;TELA;10-Oct-19;7;135
SAMSUNG;TEL-SAM-J510-REPL;TELA;01-Jul-19;21;49,44
SAMSUNG;TEL-SAM-J6-ORIG;TELA;05-May-20;1;189
SAMSUNG;TEL-SAM-J6-REPL;TELA;05-Nov-19;23;50,76
SAMSUNG;TEL-SAM-J6-PLUS-REPL;TELA;26-Sep-19;8;75
SAMSUNG;TEL-SAM-J7-ORIG;TELA;02-Apr-20;15;123,68
SAMSUNG;TEL-SAM-J7-REPL;TELA;05-Mar-20;28;45,65
SAMSUNG;TEL-SAM-J7-PRIME-ORIG;TELA;01-Feb-20;2;127,5
SAMSUNG;TEL-SAM-J7-PRIME-REPL;TELA;08-Apr-20;33;55,85
SAMSUNG;TEL-SAM-J7-PRIME2-ORIG;TELA;10-Jun-20;1;127,5
SAMSUNG;TEL-SAM-J7-PRIME2-REPL;TELA;15-Jun-20;14;65,96
SAMSUNG;TEL-SAM-J7-PRO-ORIG;TELA;16-Jun-20;8;120,68
SAMSUNG;TEL-SAM-J7-PRO-REPL;TELA;01-May-20;22;61,77
SAMSUNG;TEL-SAM-J701-ORIG;TELA;03-Oct-19;9;120,83
SAMSUNG;TEL-SAM-J701-REPL;TELA;15-May-18;30;46,44
SAMSUNG;TEL-SAM-J710-ORIG;TELA;10-Jan-20;1;122,27
SAMSUNG;TEL-SAM-J710-REPL;TELA;30-Apr-20;20;44,52
SAMSUNG;TEL-SAM-J720-ORIG;TELA;18-Jun-20;6;155,91
SAMSUNG;TEL-SAM-J720-REPL;TELA;16-May-20;1;86,67
SAMSUNG;TEL-SAM-J8-ORIG;TELA;01-Nov-19;2;188,1
SAMSUNG;TEL-SAM-J8-REPL;TELA;06-Apr-19;4;58,51
SAMSUNG;TEL-SAM-M10-ORIG;TELA;08-Sep-18;0;255
SAMSUNG;TEL-SAM-M10-REPL;TELA;14-Oct-18;1;76,5
SAMSUNG;TEL-SAM-M20-ORIG;TELA;05-Jun-20;0;323
SAMSUNG;TEL-SAM-M20-REPL;TELA;04-May-20;2;90
SAMSUNG;TEL-SAM-M30-ORIG;TELA;09-Jun-20;2;323
SAMSUNG;TEL-SAM-M30-REPL;TELA;02-Feb-20;3;180
SAMSUNG;TEL-SAM-NOTE5-REPL;TELA;10-Oct-19;1;650
SAMSUNG;TEL-SAM-NOTE8-ORIG;TELA;01-Jul-19;0;700
SAMSUNG;TEL-SAM-NOTE8-REPL;TELA;05-May-20;0;550
SAMSUNG;TEL-SAM-NOTE9-ORIG;TELA;01-May-20;0;700
SAMSUNG;TEL-SAM-NOTE9-REPL;TELA;03-Oct-19;0;600
SAMSUNG;TEL-SAM-S10-ORIG;TELA;15-May-18;2;950
SAMSUNG;TEL-SAM-S10-REPL;TELA;10-Jan-20;0;720
SAMSUNG;TEL-SAM-S10-PLUS-ORIG;TELA;30-Apr-20;1;1020
SAMSUNG;TEL-SAM-S10-PLUS-REPL;TELA;18-Jun-20;0;900
SAMSUNG;TEL-SAM-S3-ORIG;TELA;16-May-20;0;150
SAMSUNG;TEL-SAM-S3-REPL;TELA;01-Nov-19;0;102
SAMSUNG;TEL-SAM-S3-MINI-ORIG;TELA;06-Apr-19;0;130
SAMSUNG;TEL-SAM-S3-MINI-REPL;TELA;08-Sep-18;0;142
SAMSUNG;TEL-SAM-S4-ORIG;TELA;14-Oct-18;0;110
SAMSUNG;TEL-SAM-S4-REPL;TELA;05-Jun-20;0;102
SAMSUNG;TEL-SAM-S4-MINI-ORIG;TELA;04-May-20;0;94
SAMSUNG;TEL-SAM-S4-MINI-REPL;TELA;09-Jun-20;0;86
SAMSUNG;TEL-SAM-S5-ORIG;TELA;02-Feb-20;0;238
SAMSUNG;TEL-SAM-S5-REPL;TELA;10-Oct-19;2;95
SAMSUNG;TEL-SAM-S5-MINI-ORIG;TELA;01-Jul-19;0;280
SAMSUNG;TEL-SAM-S5-MINI-REPL;TELA;05-May-20;0;285
SAMSUNG;TEL-SAM-S6-ORIG;TELA;05-Nov-19;1;350
SAMSUNG;TEL-SAM-S6-REPL;TELA;26-Sep-19;0;342
SAMSUNG;TEL-SAM-S6-EDGE-ORIG;TELA;02-Apr-20;0;399,5
SAMSUNG;TEL-SAM-S6-EDGE-REPL;TELA;05-Mar-20;0;385
SAMSUNG;TEL-SAM-S6-EDGE-PLUS-ORIG;TELA;01-Feb-20;0;390
SAMSUNG;TEL-SAM-S6-EDGE-PLUS-REPL;TELA;08-Apr-20;0;375
SAMSUNG;TEL-SAM-S7-ORIG;TELA;10-Jun-20;0;335
SAMSUNG;TEL-SAM-S7-REPL;TELA;15-Jun-20;0;295
SAMSUNG;TEL-SAM-S7-EDGE-ORIG;TELA;16-Jun-20;0;620
SAMSUNG;TEL-SAM-S7-EDGE-REPL;TELA;01-May-20;1;635
SAMSUNG;TEL-SAM-S8-ORIG;TELA;03-Oct-19;0;550
SAMSUNG;TEL-SAM-S8-REPL;TELA;15-May-18;0;683
SAMSUNG;TEL-SAM-S8-PLUS-ORIG;TELA;10-Jan-20;2;750
SAMSUNG;TEL-SAM-S8-PLUS-REPL;TELA;30-Apr-20;0;738
SAMSUNG;TEL-SAM-S9-ORIG;TELA;18-Jun-20;0;807,5
SAMSUNG;TEL-SAM-S9-REPL;TELA;16-May-20;0;826
SAMSUNG;TEL-SAM-S9-PLUS-ORIG;TELA;01-Nov-19;0;850
SAMSUNG;TEL-SAM-S9-PLUS-REPL;TELA;06-Apr-19;0;714
XIAOMI;TEL-XIA-A1-ORIG;TELA;08-Sep-18;7;64,44
XIAOMI;TEL-XIA-A2-ORIG;TELA;14-Oct-18;6;64,05
XIAOMI;TEL-XIA-A2-LITE-ORIG;TELA;05-Jun-20;4;62,08
XIAOMI;TEL-XIA-MI-2-ORIG;TELA;04-May-20;0;68
XIAOMI;TEL-XIA-MI-3-ORIG;TELA;09-Jun-20;0;68
XIAOMI;TEL-XIA-MI-4X-ORIG;TELA;02-Feb-20;7;62,33
XIAOMI;TEL-XIA-MI-5-ORIG;TELA;10-Oct-19;4;61,67
XIAOMI;TEL-XIA-MI-5-PLUS-ORIG;TELA;01-Jul-19;1;68,57
XIAOMI;TEL-XIA-MI-5A-ORIG;TELA;05-May-20;4;60
XIAOMI;TEL-XIA-MI-6-ORIG;TELA;01-May-20;9;59,52
XIAOMI;TEL-XIA-MI-6-PRO-ORIG;TELA;03-Oct-19;10;62,86
XIAOMI;TEL-XIA-MI-7A-ORIG;TELA;15-May-18;2;80
XIAOMI;TEL-XIA-MI-8-ORIG;TELA;10-Jan-20;2;296
XIAOMI;TEL-XIA-MI-8-LITE-ORIG;TELA;30-Apr-20;6;92,86
XIAOMI;TEL-XIA-MI-9-ORIG;TELA;18-Jun-20;0;510
XIAOMI;TEL-XIA-MI-9-SE-ORIG;TELA;16-May-20;0;510
XIAOMI;TEL-XIA-MI-F1-ORIG;TELA;01-Nov-19;4;80
XIAOMI;TEL-XIA-MI-S2-ORIG;TELA;06-Apr-19;5;66
XIAOMI;TEL-XIA-NOTE-4X-ORIG;TELA;08-Sep-18;7;65,36
XIAOMI;TEL-XIA-NOTE-5-ORIG;TELA;14-Oct-18;1;65,36
XIAOMI;TEL-XIA-NOTE-5-PLUS-ORIG;TELA;05-Jun-20;2;68
XIAOMI;TEL-XIA-NOTE-5/5-PRO-ORIG;TELA;04-May-20;8;64,23
XIAOMI;TEL-XIA-NOTE-5A-ORIG;TELA;09-Jun-20;6;65
XIAOMI;TEL-XIA-NOTE-6-PRO-ORIG;TELA;02-Feb-20;6;67,61
XIAOMI;TEL-XIA-NOTE-7-ORIG;TELA;10-Oct-19;5;81,88
LG;TOU-LG-K4;TOUCH;01-Jul-19;7;9
LG;TOU-LG-K4;TOUCH;05-May-20;1;13
MOTOROLA;TOU-MOT-G3;TOUCH;05-Nov-19;1;12,75
MOTOROLA;TOU-MOT-G6;TOUCH;26-Sep-19;3;12,75
SAMSUNG;TOU-SAM-8552;TOUCH;02-Apr-20;9;9,5
SAMSUNG;TOU-SAM-9063;TOUCH;05-Mar-20;5;9
SAMSUNG;TOU-SAM-9082;TOUCH;01-Feb-20;1;9
SAMSUNG;TOU-SAM-G35-S;TOUCH;08-Apr-20;1;12,75
SAMSUNG;TOU-SAM-G355;TOUCH;10-Jun-20;6;13
SAMSUNG;TOU-SAM-G360;TOUCH;15-Jun-20;4;12,75
SAMSUNG;TOU-SAM-G530;TOUCH;16-Jun-20;19;9,16
SAMSUNG;TOU-SAM-G531;TOUCH;01-May-20;10;9
SAMSUNG;TOU-SAM-G532;TOUCH;03-Oct-19;2;9
SAMSUNG;TOU-SAM-G8552;TOUCH;15-May-18;1;12,75
SAMSUNG;TOU-SAM-J105;TOUCH;10-Jan-20;17;9
SAMSUNG;TOU-SAM-ON7;TOUCH;30-Apr-20;6;9,71
MOTOROLA;VIDRO-MOT-G6-PLUS;VIDRO;18-Jun-20;1;16
SAMSUNG;VIDRO-SAM-J120;VIDRO;16-May-20;1;19
SAMSUNG;VIDROCAMERA;VIDRO;01-Nov-19;1;18,5
MOTOROLA;VIDROCAMERA-MOT-G5;VIDRO;06-Apr-19;1;19
